Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,50's,100's,Innings Runs Scored Buckets
RG Sharma,264,264,225,1,0,173,33,9,152.6,1,v Sri Lanka,Kolkata,13-11-2014,India,0,1,200+
V Sehwag,219,219,208,1,0,149,25,7,146.97,1,v West Indies,Indore,08-12-2011,India,0,1,200+
RG Sharma,209,209,222,1,0,158,12,16,132.27,1,v Australia,Bengaluru,02-11-2013,India,0,1,200+
RG Sharma,208*,208,212,1,1,153,13,12,135.94,1,v Sri Lanka,Mohali,13-12-2017,India,0,1,200+
SR Tendulkar,200*,200,226,1,1,147,25,3,136.05,1,v South Africa,Gwalior,24-02-2010,India,0,1,200+
MS Dhoni,183*,183,210,1,1,145,15,10,126.2,2,v Sri Lanka,Jaipur,31-10-2005,India,0,1,150-199
V Kohli,183,183,211,1,0,148,22,1,123.64,2,v Pakistan,Dhaka,18-03-2012,India,0,1,150-199
SR Tendulkar,175,175,210,1,0,141,19,4,124.11,2,v Australia,Hyderabad (Deccan),05-11-2009,India,0,1,150-199
V Sehwag,175,175,198,1,0,140,14,5,125,1,v Bangladesh,Dhaka,19-02-2011,India,0,1,150-199
RG Sharma,171*,171,205,1,1,163,13,7,104.9,1,v Australia,Perth,12-01-2016,India,0,1,150-199
SR Tendulkar,163*,163,206,1,1,133,16,5,122.55,1,v New Zealand,Christchurch,08-03-2009,India,0,1,150-199
RG Sharma,162,162,200,1,0,137,20,4,118.24,1,v West Indies,Mumbai (BS),29-10-2018,India,0,1,150-199
V Kohli,160*,160,220,1,1,159,12,2,100.62,1,v South Africa,Cape Town,07-02-2018,India,0,1,150-199
D Mongia,159*,159,233,1,1,147,17,1,108.16,1,v Zimbabwe,Guwahati,19-03-2002,India,0,1,150-199
RG Sharma,159,159,202,1,0,138,17,5,115.21,1,v West Indies,Visakhapatnam,18-12-2019,India,0,1,150-199
V Kohli,157*,157,217,1,1,129,13,4,121.7,1,v West Indies,Visakhapatnam,24-10-2018,India,0,1,150-199
V Kohli,154*,154,202,1,1,134,16,1,114.92,2,v New Zealand,Mohali,23-10-2016,India,0,1,150-199
RG Sharma,152*,152,176,1,1,117,15,8,129.91,2,v West Indies,Guwahati,21-10-2018,India,0,1,150-199
SR Tendulkar,152,152,193,1,0,151,18,0,100.66,1,v Namibia,Pietermaritzburg,23-02-2003,India,0,1,150-199
G Gambhir,150*,150,-,1,1,137,14,0,109.48,2,v Sri Lanka,Kolkata,24-12-2009,India,0,1,150-199
G Gambhir,150,150,214,1,0,147,14,1,102.04,1,v Sri Lanka,Colombo (RPS),05-02-2009,India,0,1,150-199
RG Sharma,150,150,215,1,0,133,13,6,112.78,2,v South Africa,Kanpur,11-10-2015,India,0,1,150-199
Yuvraj Singh,150,150,183,1,0,127,21,3,118.11,1,v England,Cuttack,19-01-2017,India,0,1,150-199
MS Dhoni,148,148,155,1,0,123,15,4,120.32,1,v Pakistan,Visakhapatnam,05-04-2005,India,0,1,100-149
RG Sharma,147,147,168,1,0,138,18,2,106.52,1,v New Zealand,Kanpur,29-10-2017,India,0,1,100-149
SR Tendulkar,146,146,186,1,0,132,17,0,110.6,1,v Kenya,Paarl,24-10-2001,India,0,1,100-149
V Sehwag,146,146,166,1,0,102,17,6,143.13,1,v Sri Lanka,Rajkot,15-12-2009,India,0,1,100-149
S Dhawan,143,143,-,1,0,115,18,3,124.34,1,v Australia,Mohali,10-03-2019,India,0,1,100-149
SR Tendulkar,141*,141,-,1,1,148,13,5,95.27,1,v West Indies,Kuala Lumpur,14-09-2006,India,0,1,100-149
RG Sharma,141*,141,195,1,1,123,17,4,114.63,2,v Australia,Jaipur,16-10-2013,India,0,1,100-149
SR Tendulkar,141,141,173,1,0,135,17,1,104.44,2,v Pakistan,Rawalpindi,16-03-2004,India,0,1,100-149
V Kohli,140,140,-,1,0,107,21,2,130.84,2,v West Indies,Guwahati,21-10-2018,India,0,1,100-149
RG Sharma,140,140,153,1,0,113,14,3,123.89,1,v Pakistan,Manchester,16-06-2019,India,0,1,100-149
MS Dhoni,139*,139,169,1,1,121,12,5,114.87,1,v Australia,Mohali,19-10-2013,India,0,1,100-149
V Kohli,139*,139,192,1,1,126,12,3,110.31,2,v Sri Lanka,Ranchi,16-11-2014,India,0,1,100-149
SR Tendulkar,139,139,197,1,0,125,19,0,111.2,1,v Australia,Indore,31-03-2001,India,0,1,100-149
Yuvraj Singh,139,139,143,1,0,122,16,2,113.93,1,v Australia,Sydney,22-01-2004,India,0,1,100-149
Yuvraj Singh,138*,138,125,1,1,78,16,6,176.92,1,v England,Rajkot,14-11-2008,India,0,1,100-149
G Gambhir,138*,138,171,1,1,116,18,0,118.96,2,v New Zealand,Jaipur,01-12-2010,India,0,1,100-149
SR Tendulkar,138,138,214,1,0,133,10,1,103.75,1,v Sri Lanka,Colombo (RPS),14-09-2009,India,0,1,100-149
RG Sharma,138,138,228,1,0,139,9,4,99.28,1,v Australia,Melbourne,18-01-2015,India,0,1,100-149
V Kohli,138,138,202,1,0,140,6,5,98.57,1,v South Africa,Chennai,22-10-2015,India,0,1,100-149
RG Sharma,137*,137,-,1,1,114,15,4,120.17,2,v England,Nottingham,12-07-2018,India,0,1,100-149
