Innings Player,Innings Runs Scored,Innings Runs Scored Num,Innings Minutes Batted,Innings Batted Flag,Innings Not Out Flag,Innings Balls Faced,Innings Boundary Fours,Innings Boundary Sixes,Innings Batting Strike Rate,Innings Number,Opposition,Ground,Innings Date,Country,50's,100's,Innings Runs Scored Buckets
RG Sharma,118,118,61,1,0,43,12,10,274.41,1,v Sri Lanka,Indore,22-12-2017,India,0,1,100-149
RG Sharma,111*,111,95,1,1,61,8,7,181.96,1,v West Indies,Lucknow,06-11-2018,India,0,1,100-149
KL Rahul,110*,110,84,1,1,51,12,5,215.68,2,v West Indies,Lauderhill,27-08-2016,India,0,1,100-149
RG Sharma,106,106,79,1,0,66,12,5,160.6,1,v South Africa,Dharamsala,02-10-2015,India,0,1,100-149
KL Rahul,101*,101,-,1,1,54,10,5,187.03,2,v England,Manchester,03-07-2018,India,0,1,100-149
SK Raina,101,101,85,1,0,60,9,5,168.33,1,v South Africa,Gros Islet,02-05-2010,India,0,1,100-149
RG Sharma,100*,100,-,1,1,56,11,5,178.57,2,v England,Bristol,08-07-2018,India,0,1,100-149
RG Sharma,97,97,87,1,0,61,8,5,159.01,1,v Ireland,Dublin (Malahide),27-06-2018,India,1,0,50-99
V Kohli,94*,94,-,1,1,50,6,6,188,2,v West Indies,Hyderabad (Deccan),06-12-2019,India,1,0,50-99
S Dhawan,92,92,-,1,0,62,10,2,148.38,2,v West Indies,Chennai,11-11-2018,India,1,0,50-99
KL Rahul,91,91,-,1,0,56,9,4,162.5,1,v West Indies,Mumbai,11-12-2019,India,1,0,50-99
V Kohli,90*,90,71,1,1,55,9,2,163.63,1,v Australia,Adelaide,26-01-2016,India,1,0,50-99
S Dhawan,90,90,-,1,0,49,6,6,183.67,1,v Sri Lanka,Colombo (RPS),06-03-2018,India,1,0,50-99
V Kohli,89*,89,63,1,1,47,11,1,189.36,1,v West Indies,Mumbai,31-03-2016,India,1,0,50-99
KL Rahul,89,89,94,1,0,49,5,8,181.63,1,v Sri Lanka,Indore,22-12-2017,India,1,0,50-99
RG Sharma,89,89,-,1,0,61,5,5,145.9,1,v Bangladesh,Colombo (RPS),14-03-2018,India,1,0,50-99
RG Sharma,85,85,-,1,0,43,6,6,197.67,2,v Bangladesh,Rajkot,07-11-2019,India,1,0,50-99
RG Sharma,83,83,90,1,0,55,7,3,150.9,1,v Bangladesh,Dhaka,24-02-2016,India,1,0,50-99
V Kohli,82*,82,78,1,1,51,9,2,160.78,2,v Australia,Mohali,27-03-2016,India,1,0,50-99
V Kohli,82,82,-,1,0,54,7,1,151.85,2,v Sri Lanka,Colombo (RPS),06-09-2017,India,1,0,50-99
RG Sharma,80,80,85,1,0,55,6,4,145.45,1,v New Zealand,Delhi,01-11-2017,India,1,0,50-99
S Dhawan,80,80,68,1,0,52,10,2,153.84,1,v New Zealand,Delhi,01-11-2017,India,1,0,50-99
RG Sharma,79*,79,65,1,1,46,4,6,171.73,2,v Australia,Bridgetown,07-05-2010,India,1,0,50-99
MK Pandey,79*,79,66,1,1,48,6,3,164.58,1,v South Africa,Centurion,21-02-2018,India,1,0,50-99
V Kohli,78*,78,61,1,1,61,8,2,127.86,2,v Pakistan,Colombo (RPS),30-09-2012,India,1,0,50-99
Yuvraj Singh,77*,77,57,1,1,35,8,5,220,2,v Australia,Rajkot,10-10-2013,India,1,0,50-99
V Kohli,77,77,75,1,0,58,5,4,132.75,1,v Sri Lanka,Dhaka,06-04-2014,India,1,0,50-99
S Dhawan,76,76,-,1,0,42,10,2,180.95,2,v Australia,Brisbane,21-11-2018,India,1,0,50-99
G Gambhir,75,75,76,1,0,54,8,2,138.88,1,v Pakistan,Johannesburg,24-09-2007,India,1,0,50-99
S Dhawan,74,74,65,1,0,45,5,5,164.44,1,v Ireland,Dublin (Malahide),27-06-2018,India,1,0,50-99
SK Raina,72*,72,59,1,1,44,6,2,163.63,2,v Zimbabwe,Harare,13-06-2010,India,1,0,50-99
V Kohli,72*,72,67,1,1,44,5,2,163.63,2,v South Africa,Dhaka,04-04-2014,India,1,0,50-99
V Kohli,72*,72,63,1,1,38,2,6,189.47,1,v Australia,Bengaluru,27-02-2019,India,1,0,50-99
V Kohli,72*,72,66,1,1,52,4,3,138.46,2,v South Africa,Mohali,18-09-2019,India,1,0,50-99
Yuvraj Singh,72,72,59,1,0,36,4,7,200,1,v Pakistan,Ahmedabad,28-12-2012,India,1,0,50-99
S Dhawan,72,72,69,1,0,39,10,2,184.61,1,v South Africa,Johannesburg,18-02-2018,India,1,0,50-99
KL Rahul,71,71,75,1,0,47,6,2,151.06,1,v England,Nagpur,29-01-2017,India,1,0,50-99
RG Sharma,71,71,-,1,0,34,6,5,208.82,1,v West Indies,Mumbai,11-12-2019,India,1,0,50-99
V Kohli,70*,70,-,1,1,29,4,7,241.37,1,v West Indies,Mumbai,11-12-2019,India,1,0,50-99
